"Date","Sigma2","Sigma"
2010-01-04,NA,NA
2010-01-05,0.00151317643534901,0.0201242981512991
2010-01-06,0.00151317643534901,0.0201242981512991
2010-01-07,0.00151317643534901,0.0201242981512991
2010-01-08,0.00124453138437092,0.0188791298805436
2010-01-11,0.00120115318064708,0.0178691458777766
2010-01-12,0.0012096464660955,0.017374709395109
2010-01-13,0.0010560148449385,0.0174683479956393
2010-01-14,0.00101061137611819,0.0175805628896791
2010-01-15,0.00100786592494669,0.0173554162189845
2010-01-19,0.000934941775245128,0.0167792721828138
2010-01-20,0.00091139116198008,0.0175096731149938
2010-01-21,0.000979024491692724,0.0184456530402269
2010-01-22,0.000876774663036094,0.0184831314067876
2010-01-25,0.00086346182538533,0.0210695867209877
2010-01-26,0.00123153207149255,0.0226185976378818
2010-01-27,0.000917830621010671,0.0213199063371937
2010-01-28,0.000827122268575993,0.0212070257954049
2010-01-29,0.000995829104694065,0.0212490531785154
2010-02-01,0.000898783166071282,0.0207357525393729
2010-02-02,0.000809866302255937,0.0201443931124954
2010-02-03,0.000904005328033645,0.0191861138963025
2010-02-04,0.00084162604136938,0.0183779549718199
2010-02-05,0.000822637942867763,0.0184257735832719
2010-02-08,0.00084823472335063,0.0188700048204646
2010-02-09,0.000808019766127697,0.0190418983340605
2010-02-10,0.00081489474964785,0.0189104847695161
2010-02-11,0.000819672410270168,0.0181611120925483
2010-02-12,0.000788296450911433,0.0175417465228298
2010-02-16,0.000819441426750057,0.0193128697200236
2010-02-17,0.00107410469612173,0.0208761799731818
2010-02-18,0.00084046342438334,0.0200625054671647
2010-02-19,0.000807514606576975,0.0202858197909825
2010-02-22,0.000937642641125845,0.0206552441425344
2010-02-23,0.000820367490817688,0.019969275005065
2010-02-24,0.000801012990327429,0.018905593920174
2010-02-25,0.000866148027149155,0.0197009442716368
2010-02-26,0.000915960163688739,0.0203272307887501
2010-03-01,0.000841144466261404,0.019060446675896
2010-03-02,0.000820835844057852,0.0180343380224741
2010-03-03,0.000869532321643051,0.0171872442860559
2010-03-04,0.000835812946045506,0.0163648300466422
2010-03-05,0.000816251486607788,0.0156232387810032
2010-03-08,0.000830924138561113,0.0150384817394789
2010-03-09,0.000812682791055964,0.0145580798175406
2010-03-10,0.00080313722751169,0.0140902150466879
2010-03-11,0.000806564528956305,0.0136572295686315
2010-03-12,0.000799186503284259,0.0132910874193462
2010-03-15,0.000792679089926369,0.0130023084275436
2010-03-16,0.000792454572413114,0.012916431143303
2010-03-17,0.000782099135585273,0.0133198344687756
2010-03-18,0.000775136852098138,0.0138153668823389
2010-03-19,0.000774068899368301,0.0138519870958972
2010-03-22,0.000776221308092972,0.0157871176448076
2010-03-23,0.000911780574123764,0.0173036501095475
2010-03-24,0.00080030301709938,0.0165858529977172
2010-03-25,0.000775431990823804,0.0180371765270784
2010-03-26,0.00104187054007719,0.0196944595546501
2010-03-29,0.000822079697126708,0.0193113027307568
2010-03-30,0.00077435679916073,0.0184988035760331
2010-03-31,0.000916397840254041,0.0175457278178034
2010-04-01,0.0008409826575168,0.0168496994392896
2010-04-05,0.000791799268991784,0.0164020662286188
2010-04-06,0.000840967791182532,0.0158727696246009
2010-04-07,0.000815880352516592,0.015448618240172
2010-04-08,0.000787080619321829,0.0158047308764671
